item_id,item_name
67,"Twist (Dive Bar, #2)"
68,"I Knew You Were Trouble (Oxford, #4)"
69,"Eye Candy (Real Love, #1)"
70,Bad Mommy
71,"Alex, Approximately"
72,Trust
73,Most Valuable Playboy
74,We the Animals
75,The Lowland
76,11/22/63
77,Revival
78,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
79,The Bazaar of Bad Dreams
80,Between the World and Me
81,Smaller and Smaller Circles
82,"Town of Evening Calm, Country of Cherry Blossoms"
83,"Wife by Wednesday (The Weekday Brides, #1)"
84,"Anne of the Island (Anne of Green Gables, #3)"
85,"Simply Irresistible (Lucky Harbor, #1)"
86,"Bridget Jones's Diary (Bridget Jones, #1)"
87,"Kill and Tell (CIA Spies, #1)"
88,Just the Sexiest Man Alive
89,"Secrets of a Summer Night (Wallflowers, #1)"
90,"All the Queen's Men (CIA Spies, #2)"
91,"Flat-Out Love (Flat-Out Love, #1)"
92,"Sugar Daddy (Travises, #1)"
93,"Head Over Heels (Lucky Harbor, #3)"
94,King Lear
95,"Under the Light (Light, #2)"
96,Silver in the Blood
97,The Girl Who Drank the Moon
98,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
99,The Night Circus
100,"Outlander (Outlander, #1)"
101,"Midnight Crossroad (Midnight, Texas, #1)"
102,"Saga, Vol. 4 (Saga, #4)"
103,"Tithe (Modern Faerie Tales, #1)"
104,"Nana, Vol. 1 (Nana, #1)"
105,"Paper Girls, Vol. 1 (Paper Girls, #1)"
106,"Awakening (The Watchers, #1)"
107,"Thoughtless (Thoughtless, #1)"
108,"Incendiary (The Premonition, #4)"
109,Heart on a Chain
110,"This Man (This Man, #1)"
111,"Rule (Marked Men, #1)"
112,"Gabriel's Rapture (Gabriel's Inferno, #2)"
113,"The Coincidence of Callie & Kayden (The Coincidence, #1)"
114,"If You Stay (Beautifully Broken, #1)"
115,"Disastrous (Disastrous, #1)"
116,"Knight (Unfinished Hero, #1)"
117,"Take This Regret (Take This Regret, #1)"
118,The Beginning of Everything
119,"I Love You to Death (I Love You, #1)"
120,"Losing It (Losing It, #1)"
121,"Light in the Shadows (Find You in the Dark, #2)"
122,"Walking Disaster (Beautiful, #2)"
123,"Wallbanger (Cocktail, #1)"
124,Blind Obsession
125,"The Unwanted Wife (Unwanted, #1)"
126,Night Road
127,"Real (Real, #1)"
128,"This Man Confessed (This Man, #3)"
129,"Pulse (Collide, #2)"
130,"Frigid (Frigid, #1)"
131,"Left Drowning (Left Drowning, #1)"
132,"Wethering the Storm (The Storm, #2)"
133,"Present Perfect (Perfect, #1)"
134,"Infraction (Breach, #2)"
135,Kiss an Angel
136,"Seduce (Beautiful Rose, #1)"
137,"Chained (Brides of the Kindred, #9)"
138,"Angel Fever (Angel, #3)"
139,"Goddess (Starcrossed, #3)"
140,Transcendence
141,Loving Mr. Daniels
142,"Take Care, Sara"
143,"Love, in English (Love, in English, #1)"
144,"Opposition (Lux, #5)"
145,"Taking It All (Surrender Trilogy, #3)"
146,"Uncivilized (Uncivilized, #1)"
147,"Night Unbound (Immortal Guardians, #5)"
148,"Nocte (The Nocte Trilogy, #1)"
149,"Captivated by You (Crossfire, #4)"
150,The Darkest Touch (Lords of the Underworld #11)
151,Tight
152,"Thoughtful (Thoughtless, #1.5)"
153,"#Player (Hashtag, #3)"
154,"Comanche Moon (Comanche, #1)"
155,"The Slayer (Untamed Hearts, #2)"
156,"Flawed Love (House of Obsidian, #2)"
157,"When You're Back (Rosemary Beach, #11)"
158,"Elude (Eagle Elite, #6)"
159,"Iniquity (The Premonition, #5)"
160,"Souls Unfractured (Hades Hangmen, #3)"
161,The Mason List
162,"Broken Dove (Fantasyland, #4)"
163,"Until the Sun Falls from the Sky (The Three, #1)"
164,"Maybe Someday (Maybe, #1)"
165,"Worth It (Forbidden Men, #6)"
166,"Crossing the Line (Battered Hearts, #3)"
167,A Thousand Boy Kisses
168,"Deep Redemption (Hades Hangmen, #4)"
169,"Midnight Soul (Fantasyland, #5)"
170,"An Ounce of Hope (A Pound of Flesh, #2)"
171,"Savage Delight (Lovely Vicious, #2)"
172,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)"
173,"The Chosen (Black Dagger Brotherhood, #15)"
174,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)"
175,"Clockwork Angel (The Infernal Devices, #1)"
176,"Thirst No. 3: The Eternal Dawn (Thirst, #3)"
177,"Halo (Halo, #1)"
178,"Last Sacrifice (Vampire Academy, #6)"
179,I'll Be There
180,All the Bright Places
181,Say What You Will
182,I'll Give You the Sun
183,"Archangel's Kiss (Guild Hunter, #2)"
184,"Archangel's Legion (Guild Hunter, #6)"
185,"Archangel's Enigma (Guild Hunter, #8)"
186,Second Chance Summer
187,Out of Control
188,"Shadow and Bone (The Grisha, #1)"
189,"You Are Mine (Mine, #1)"
190,"Talon (Talon, #1)"
191,"Vendetta (Blood for Blood, #1)"
192,"Reckless (Forever, #6)"
193,"Wrecked (Forever, #4)"
194,Fangirl
195,"The Paper Magician (The Paper Magician Trilogy, #1)"
196,"The Storm (The Rain, #2)"
197,"Picture Perfect (Geek Girl, #3)"
198,Shut Out
199,"All Broke Down (Rusk University, #2)"
200,"Losing Lila (Lila, #2)"
201,"Champion (Legend, #3)"
202,"These Broken Stars (Starbound, #1)"
203,"Pure (Covenant, #2)"
204,"Death Wish (Ceruleans, #1)"
205,"The Goddess Test (Goddess Test, #1)"
206,Sleeping Tom
207,"Wicked (A Wicked Saga, #1)"
208,"Red Queen (Red Queen, #1)"
209,Lies We Tell Ourselves
210,"The Young Elites (The Young Elites, #1)"
211,"The Lost Hero (The Heroes of Olympus, #1)"
212,"Black Rainbow (Rainbows, #1)"
213,"Spark (Elemental, #2)"
214,Tiger Lily
215,"The One (The Selection, #3)"
216,Zac and Mia
217,"Breathless (Elemental, #2.5)"
218,Seed
219,"After Ever Happy (After, #4)"
220,"Secret (Elemental, #4)"
221,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)"
222,"Never Never (Never Never, #1)"
223,"Never Never: Part Two (Never Never, #2)"
224,Every Last Word
225,"Alienated (Alienated, #1)"
226,"Clipped Wings (Clipped Wings, #1)"
227,Tsarina
228,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)"
229,"Point of Retreat (Slammed, #2)"
230,Extraordinary Means
231,Twenty Boy Summer
232,"The Outside (The Hallowed Ones, #2)"
233,Top Ten Clues You're Clueless
234,"Bad Romeo (Starcrossed, #1)"
235,"The Darkest Minds (The Darkest Minds, #1)"
236,"As Dead As It Gets (Bad Girls Don't Die, #3)"
237,"Losing Hope (Hopeless, #2)"
238,"Finding Cinderella (Hopeless, #2.5)"
239,"Prisoner of Night and Fog (Prisoner of Night and Fog, #1)"
240,"Crash (Crash, #1)"
241,"Broken Juliet (Starcrossed, #2)"
242,"Magonia (Magonia, #1)"
243,Fans of the Impossible Life
244,"Unhinged (Splintered, #2)"
245,A Million Miles Away
246,"The Kiss of Deception (The Remnant Chronicles, #1)"
247,"Every Last Breath (The Dark Elements, #3)"
248,"The Wrath and the Dawn (The Wrath and the Dawn, #1)"
249,"Wrong Number, Right Guy (The Bourbon Street Boys, #1)"
250,"Heir of Fire (Throne of Glass, #3)"
251,"Clockwork Prince (The Infernal Devices, #2)"
252,"Priest (Priest, #1)"
253,"Library of Souls (Miss Peregrine's Peculiar Children, #3)"
254,Animal Farm
255,Scoring Wilder
256,The Martian
257,"The Allure of Julian Lefray (The Allure, #1)"
258,Carry On
259,"End of Days (Penryn & the End of Days, #3)"
260,"Scarlet (The Lunar Chronicles, #2)"
261,"Cress (The Lunar Chronicles, #3)"
262,The Awakened
263,Thicker Than Water
264,"Winter (The Lunar Chronicles, #4)"
265,"Wolf by Wolf (Wolf by Wolf, #1)"
266,"Did I Mention I Love You? (The DIMILY Trilogy, #1)"
267,"Did I Mention I Need You? (The DIMILY Trilogy, #2)"
268,Wedding Night
269,Burning Midnight
270,"Inferno (Blood for Blood, #2)"
271,"The Allure of Dean Harper (The Allure, #2)"
272,"Built (Saints of Denver, #1)"
273,"Flawed (Flawed, #1)"
274,The Replacement
275,"What Doesn't Destroy Us (The Devil's Dust, #1)"
276,"An Ember in the Ashes (An Ember in the Ashes, #1)"
277,"The Girl in 6E (Deanna Madden, #1)"
278,"Pucked Over (Pucked, #3)"
279,"Rebel Spring (Falling Kingdoms, #2)"
280,"Spelled (The Storymakers, #1)"
281,The Love That Split the World
282,The Problem with Forever
283,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)"
284,"Out of Bounds (The Summer Games, #2)"
285,It Ends with Us
286,"Where I Belong (Alabama Summer, #1)"
287,"The Host (The Host, #1)"
288,"Twilight / Life and Death (Twilight, #1, 1.75)"
289,"The Fixer (The Fixer, #1)"
290,The Play
291,"The Queen of the Tearling (The Queen of the Tearling, #1)"
292,"It Ain't Me, Babe (Hades Hangmen, #1)"
293,"Checkmate: This is War (Travis & Viola, #1) (Checkmate Duet, #1)"
294,Wait for It
295,The Virgin Romance Novelist (The Virgin Romance Novelist #1)
296,"The Prey (The Prey, #1)"
297,"The Bar Code Tattoo (Bar Code, #1)"
298,Moloka'i
299,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)"
300,The Magic Strings of Frankie Presto
301,I Am Radar
302,"Lady Killer (Lady Killer, #1)"
303,The Far Pavilions
304,Bone Gap
305,"Blood of Tyrants (Temeraire, #8)"
306,The Girl on the Train
307,Girls Like Us
308,Euphoria
309,"The Keeper of Lost Causes (Department Q, #1)"
310,The History of Love
311,Let's Pretend This Never Happened: A Mostly True Memoir
312,Rebel Queen
313,My Name Is Lucy Barton
314,Not Working
315,The Great Zoo of China
316,"The Dead in Their Vaulted Arches (Flavia de Luce, #6)"
317,"Owl and the Japanese Circus (Adventures of Owl, #1)"
318,"Reliquary (Reliquary, #1)"
319,"The Menagerie (Menagerie, #1)"
320,"Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality"
321,"Arabella of Mars (Adventures of Arabella Ashby, #1)"
322,"Tiny Pretty Things (Tiny Pretty Things, #1)"
323,Amped
324,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)"
325,Dark Matter
326,"Labyrinth Lost (Brooklyn Brujas, #1)"
327,The Other Einstein
328,Fingersmith
329,The Hollow City
330,The Whistler
331,"Perdition (Dred Chronicles, #1)"
332,"Public Enemies (Immortal Game, #2)"
333,"Closer to Home (The Herald Spy, #1)"
334,"Closer to the Chest (The Herald Spy, #3)"
335,"My Soul to Keep (African Immortals, #1)"
336,Room
337,The Perks of Being a Wallflower
338,"Pretty Little Liars (Pretty Little Liars, #1)"
339,Howl and Other Poems
340,"Tricks (Tricks, #1)"
341,"Flawless (Pretty Little Liars, #2)"
342,The Help
343,"Elixir (Elixir, #1)"
344,"City of Bones (The Mortal Instruments, #1)"
345,Thirteen Reasons Why
346,Cut
347,The Book Thief
348,"The Miserable Mill (A Series of Unfortunate Events, #4)"
349,Revolutionary Road
350,Cycle of the Werewolf
351,"The Walking Dead, Vol. 01: Days Gone Bye"
352,Honor Bound
353,"The Walking Dead, Vol. 04: The Heart's Desire"
354,"The Walking Dead, Vol. 05: The Best Defense"
355,"The Walking Dead, Vol. 08: Made to Suffer"
356,"The Walking Dead, Vol. 09: Here We Remain"
357,"The Walking Dead, Vol. 11: Fear the Hunters"
358,Franny and Zooey
359,"Fatal Affair (Fatal, #1)"
360,"Shatter Me (Shatter Me, #1)"
361,The Color Purple
362,Looking for Alaska
363,Romeo and Juliet
364,Paper Towns
365,Ready Player One
366,On Writing: A Memoir of the Craft
367,"The Maze Runner (Maze Runner, #1)"
368,"The Scorch Trials (Maze Runner, #2)"
369,"The Walking Dead, Vol. 17: Something to Fear"
370,"The Hunger Games (The Hunger Games, #1)"
371,The Fault in Our Stars
372,Forbidden
373,Is Everyone Hanging Out Without Me?
374,The Lover's Dictionary
375,"Hush, Hush (Hush, Hush, #1)"
376,Bloodrose (Nightshade #3; Nightshade World #6)
377,"Out of Sight, Out of Time (Gallagher Girls, #5)"
378,"Fever (The Chemical Garden, #2)"
379,"Silence (Hush, Hush, #3)"
380,"The Selection (The Selection, #1)"
381,"Sweet Evil (Sweet, #1)"
382,"City of Lost Souls (The Mortal Instruments, #5)"
383,"If I Die (Soul Screamers, #5)"
384,"Shiver (The Wolves of Mercy Falls, #1)"
385,"Sweet Peril (Sweet, #2)"
386,"Clockwork Princess (The Infernal Devices, #3)"
387,"United We Spy (Gallagher Girls, #6)"
388,"Sweet Reckoning (Sweet, #3)"
389,"A Game of Thrones (A Song of Ice and Fire, #1)"
390,"A Clash of Kings  (A Song of Ice and Fire, #2)"
391,"A Storm of Swords (A Song of Ice and Fire, #3)"
392,"American Gods (American Gods, #1)"
393,"Witch Song (Witch Song, #1)"
394,"Switched (Trylle, #1)"
395,"A Dance with Dragons (A Song of Ice and Fire, #5)"
396,"The Night Angel Trilogy (Night Angel, #1-3)"
397,"A Feast for Crows (A Song of Ice and Fire, #4)"
398,"Unspoken (The Lynburn Legacy, #1)"
399,"What I Did for Love (Wynette, Texas #4)"
400,"Everblue (Mer Tales, #1)"
401,The One That I Want
402,Letters from Skye
403,"You Are So Undead to Me (Megan Berry, #1)"
404,"The 5th Wave (The 5th Wave, #1)"
405,Nick & Norah's Infinite Playlist
406,"Easy (Contours of the Heart, #1)"
407,The Coldest Girl in Coldtown
408,"Clockwork Angel (The Infernal Devices, #1)"
409,In Honor
410,No One Else Can Have You (No One Else Can Have You #1)
411,The Time Traveler's Wife
412,"Angels & Demons  (Robert Langdon, #1)"
413,The Adventures of Tom Sawyer
414,"Dark Skye (Immortals After Dark, #15)"
415,"Beautiful Surrender (Forever, #3)"
416,"Divergent (Divergent, #1)"
417,"Beautiful Oblivion (The Maddox Brothers, #1)"
418,Black Ice
419,"Nevermore (Nevermore, #1)"
420,Clone Three (The Clone Chronicles #1)
421,"More Than This (More Than, #1)"
422,"The Rules (Off-Limits, #2)"
423,The Rules Do Not Apply
424,Feed
425,Solaris
426,"Here, There Be Dragons (Chronicles of the Imaginarium Geographica, #1)"
427,"Control Point (Shadow Ops, #1)"
428,Ready Player One
429,"Legion (Legion, #1)"
430,"Summer Knight (The Dresden Files, #4)"
431,"Stormdancer (The Lotus Wars, #1)"
432,Snow Crash
433,"Trapped (The Iron Druid Chronicles, #5)"
434,The Emperor's Soul
435,"Old Man's War (Old Man's War, #1)"
436,"John Dies at the End (John Dies at the End, #1)"
437,"A Memory of Light (Wheel of Time, #14)"
438,The Dog Stars
439,Redshirts
440,"The Daylight War (Demon Cycle, #3)"
441,"Frost Burned (Mercy Thompson, #7)"
442,Slaughterhouse-Five
443,"The Rithmatist (Rithmatist, #1)"
444,Cat's Cradle
445,The Ocean at the End of the Lane
446,Ishmael: An Adventure of the Mind and Spirit
447,"Steelheart (Reckoners, #1)"
448,"The Knife of Never Letting Go (Chaos Walking, #1)"
449,"Allegiant (Divergent, #3)"
450,Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics
451,Breakfast of Champions
452,The Great Gatsby
453,The Girl with All the Gifts
454,"Lock In (Lock In, #1)"
455,"Red Rising (Red Rising, #1)"
456,"Hyperion (Hyperion Cantos, #1)"
457,"The Skull Throne (Demon Cycle, #4)"
458,Brave New World
459,Seveneves
460,"Stiletto (The Checquy Files, #2)"
461,"Cibola Burn (Expanse, #4)"
462,"Fifty Shades of Grey (Fifty Shades, #1)"
463,"The Golden Compass (His Dark Materials, #1)"
464,A Monster Calls
465,"Eldest (The Inheritance Cycle, #2)"
466,Dracula
467,The Howling Heart
468,"Brisingr (The Inheritance Cycle, #3)"
469,"Ghostly Paws (Mystic Notch Cozy Mystery, #1)"
470,"Midnight Star (Vampire Girl, #2)"
471,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
472,Mom & Me & Mom
473,"Nice Girls Don't Have Fangs (Jane Jameson, #1)"
474,Trafficked: The Diary of a Sex Slave
475,How to Be a Woman
476,"Loving Cara (Love Under the Big Sky, #1)"
477,"Omens (Cainsville, #1)"
478,The Absolutely True Diary of a Part-Time Indian
479,"Matched (Matched, #1)"
480,Fangirl
481,Smoke Gets in Your Eyes: And Other Lessons from the Crematory
482,"If I Stay (If I Stay, #1)"
483,Tuesdays with Morrie
484,The Girls
485,Pyongyang: A Journey in North Korea
486,Diary Of An Oxygen Thief (The Oxygen Thief Diaries #1)
487,"Where'd You Go, Bernadette"
488,Everything Is Illuminated
489,You in Five Acts
490,Mother Night
491,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
492,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)"
493,The Nest
494,Yes Please
495,Middlesex
496,The Goldfinch
497,Funny Girl
498,The Bookshop on the Corner
499,Let's Explore Diabetes with Owls
500,The German Girl
501,"The Elite (The Selection, #2)"
502,"The Heir (The Selection, #4)"
503,When Dimple Met Rishi
504,One of Us Is Lying
505,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)"
506,Live Through This
507,"While It Lasts (Sea Breeze, #3)"
508,"The Gamble (Colorado Mountain, #1)"
509,"And With Madness Comes the Light (Experiment in Terror, #6.5)"
510,My Life Next Door
511,"Anna Dressed in Blood (Anna, #1)"
512,"Shelter Mountain (Virgin River, #2)"
513,"Antigoddess (Goddess War, #1)"
514,Just Listen
515,"Divergent (Divergent, #1)"
516,Green Eggs and Ham
517,"Hen of the Baskervilles (Meg Langslow, #15)"
518,"Persepolis: The Story of a Childhood (Persepolis, #1)"
519,Boxers & Saints
520,"Saints (Boxers & Saints, #2)"
521,"Deathless (Leningrad Diptych, #1)"
522,Consumed
523,El Deafo
524,"Mort (Death, #1; Discworld, #4)"
525,The Jungle
526,The Time Machine
527,"The Republic of Thieves (Gentleman Bastard, #3)"
528,"The Lies of Locke Lamora (Gentleman Bastard, #1)"
529,The Black Spider
530,"Oddly Normal, Book 1"
531,"The Deaths of Tao (Tao, #2)"
532,Indexing (Indexing #1)
533,"The Invisible (Brokenhearted, #2)"
534,Uncle Tom's Cabin
535,"Snuff (Discworld, #39; City Watch #8)"
536,"Princess Jellyfish 2-in-1 Omnibus, Volume 1 (Princess Jellyfish 2-in-1 Omnibus, #1)"
537,The Devil in the White City
538,"The Oracle's Queen (The Tamír Triad, #3)"
539,The Black Tulip
540,"Orange: The Complete Collection, Vol. 1"
541,"The Killing Moon (Dreamblood, #1)"
542,"Pretty Guardian Sailor Moon, Vol. 3 (Pretty Soldier Sailor Moon Renewal Edition, #3)"
543,"Rad Women Worldwide: Artists and Athletes, Pirates and Punks, and Other Revolutionaries Who Shaped History"
544,"A Shadow Bright and Burning (Kingdom on Fire, #1)"
545,"Daughter of the Pirate King (Daughter of the Pirate King, #1)"
546,"A Game of Thrones (A Song of Ice and Fire, #1)"
547,"A Storm of Swords (A Song of Ice and Fire, #3)"
548,"The Invisible Library (The Invisible Library, #1)"
549,"Dawn of the Arcana, Vol. 01 (Dawn of the Arcana, #1)"
550,"The Buried Life (Recoletta, #1)"
551,"A Feast for Crows (A Song of Ice and Fire, #4)"
552,Frankenstein
553,The Strange Case of Dr. Jekyll and Mr. Hyde
554,The Man Who Was Thursday: A Nightmare
555,Taran Wanderer (The Chronicles of Prydain #4)
556,Night (The Night Trilogy #1)
557,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
558,The Glass Arrow
559,"Flamecaster (Shattered Realms, #1)"
560,Scarlett Epstein Hates It Here
561,"Clockwork Prince (The Infernal Devices, #2)"
562,Girl Last Seen
563,"Shadowcaster (Shattered Realms, #2)"
564,"Glass Sword (Red Queen, #2)"
565,Thanks for the Trouble
566,After the Bridge (The Infernal Devices #3.1)
567,"Throne of Glass (Throne of Glass, #1)"
568,"Crown of Midnight (Throne of Glass, #2)"
569,The Infinite Moment of Us
570,To Kill a Mockingbird
571,Last Seen Leaving
572,A Taste for Monsters
573,"The Winner's Curse (The Winner's Trilogy, #1)"
574,Torn Away
575,"The Raven Boys (The Raven Cycle, #1)"
576,Don't Look Back
577,"The Kiss of Deception (The Remnant Chronicles, #1)"
578,"Nil (Nil, #1)"
579,"King's Cage (Red Queen, #3)"
580,Love and Other Foreign Words
581,"The Book of Ivy (The Book of Ivy, #1)"
582,Some Boys
583,Wonder (Wonder #1)
584,We Were Liars
585,Since You've Been Gone
586,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)"
587,"Fairest (The Lunar Chronicles, #3.5)"
588,A Madness So Discreet
589,"The Rose Society (The Young Elites, #2)"
590,"Siege and Storm (The Grisha, #2)"
591,"The Waking Fire (The Draconis Memoria, #1)"
592,"Dawn of Wonder (The Wakening, #1)"
593,"Words of Radiance (The Stormlight Archive, #2)"
594,"The Alloy of Law (Mistborn, #4)"
595,"The Bands of Mourning (Mistborn, #6)"
596,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)"
597,"The Name of the Wind (The Kingkiller Chronicle, #1)"
598,"The Wise Man's Fear (The Kingkiller Chronicle, #2)"
599,"One Good Dragon Deserves Another (Heartstrikers, #2)"
600,"Storm Front (The Dresden Files, #1)"
601,"Grave Peril (The Dresden Files, #3)"
602,"Caged in Darkness (Caged, #1)"
603,"Inheritance (The Inheritance Cycle, #4)"
604,"Masquerade (Heven and Hell, #1)"
605,"Breathe (Sea Breeze, #1)"
606,"Hush Money (Talent Chronicles, #1)"
607,"Intuition (The Premonition, #2)"
608,"Darkness Falls (Immortal Beloved, #2)"
609,"Half-Blood (Covenant, #1)"
610,"The Binding (The Velesi Trilogy, #1)"
611,The Hobbit
612,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)"
613,Lips Touch: Three Times
614,Wrecked
615,Monstrous Beauty
616,"Hawksong (The Kiesha'ra, #1)"
617,"Quintana of Charyn (Lumatere Chronicles, #3)"
618,"Coexist (Keegan's Chronicles, #1)"
619,"Nameless (Tales of Beauty & Madness, #1)"
620,Promise of Shadows
621,"Cruel Beauty (Cruel Beauty Universe, #1)"
622,"Shadowfever (Fever, #5)"
623,"Forsaken (Daughters of the Sea, #1)"
624,"A Beautiful Evil (Gods & Monsters, #2)"
625,"With Every Heartbeat (Forbidden Men, #4)"
626,"Lady Midnight (The Dark Artifices, #1)"
627,"A Shade of Vampire (A Shade of Vampire, #1)"
628,"Queen of Shadows (Throne of Glass, #4)"
629,"Legacy of Kings (Blood of Gods and Royals, #1)"
630,"The Broken Kingdoms (Inheritance, #2)"
631,The Deep End of the Sea
632,"Reckless Magic (Star-Crossed, #1)"
633,The Haunting Season
634,"Irène (Verhœven, #1)"
635,"Dexter in the Dark (Dexter, #3)"
636,"Snow White Must Die (Bodenstein & Kirchhoff, #4)"
637,Cloud Atlas
638,The Eye of God (Sigma Force #9)
639,"Asylum (Asylum, #1)"
640,The Thief Taker (The Thief Taker #1)
641,The Shining Girls
642,The Walled City
643,"The Infinite Sea (The 5th Wave, #2)"
644,Girl on a Wire
645,"The Glass Magician (The Paper Magician Trilogy, #2)"
646,Bird Box
647,The Sham
648,The Phantom of the Opera
649,"Golden Son (Red Rising, #2)"
650,The Crime at Black Dudley (Albert Campion Mystery #1)
651,The Shuddering
652,"He Who Fears the Wolf (Inspector Konrad Sejer, #3)"
653,House of Echoes
654,Under the Skin
655,"The Three (The Three, #1)"
656,"Jackaby (Jackaby, #1)"
657,"Endurance (Afraid, #3)"
658,Haunted House
659,The Neighbors
660,"You (You, #1)"
661,Twisted
662,"The Haunting of Sunshine Girl (The Haunting of Sunshine Girl, #1)"
663,The Invention of Hugo Cabret
664,Clockwork
665,"Of Metal and Wishes (Of Metal and Wishes, #1)"
666,"Blood on Snow (Blood on Snow, #1)"
667,"Eeny Meeny (Helen Grace, #1)"
668,"Suicide Forest (World's Scariest Places, #1)"
669,"Half Bad (The Half Bad Trilogy, #1)"
670,"Half Wild (The Half Bad Trilogy, #2)"
671,A Study in Emerald
672,"The Chimera Vector (The Fifth Column, #1)"
673,Trust No One
674,Within These Walls
675,"Hollow City (Miss Peregrine’s Peculiar Children, #2)"
676,The Deep
677,"The Master Magician (The Paper Magician Trilogy, #3)"
678,The Woman in Black
679,Fantastic Beasts and Where to Find Them
680,Swerve
681,Where Monsters Dwell
682,The Troop
683,Ticker
684,House of Small Shadows
685,The Graveyard Book
686,Broken Monsters
687,Stiff: The Curious Lives of Human Cadavers
688,"Mad About the Boy (Bridget Jones, #3)"
689,172 Hours on the Moon
690,"Hanover House (The Evelyn Talbot Chronicles, #0.5)"
691,The Magpies
692,The Ice Twins
693,"The Girl in the Spider's Web (Millennium, #4)"
694,"The Hanging Girl (Department Q, #6)"
695,Playing with Fire
696,I Let You Go
697,Followed by Frost
698,Slade House
699,Wolf Winter
700,The Kind Worth Killing
701,Little Girls
702,Nirvana (Nirvana #1)
703,"Lost Girls (D.I. Kim Stone, #3)"
704,Dead Ringer
705,A Head Full of Ghosts
706,Coraline
707,Snowblind
708,The Girl With No Past
709,"Grey (Fifty Shades, #4)"
710,"The Doll's House (Helen Grace, #3)"
711,"Career of Evil (Cormoran Strike, #3)"
712,Hell House
713,Trigger Warning: Short Fictions and Disturbances
714,The Scarlet Gospels
715,Carmilla
716,The Girl You Lost
717,Psycho
718,"The Girl In The Ice (Detective Erika Foster, #1)"
719,The Art Forger
720,The Seventh Bride
